종별,날짜,true_label,is_true_anomaly,ours_flag,baseline_flag,if_score_eval,ae_score_eval,총사용량
주택용,2024-03-10,normal,0,0,1,-0.16466047,7.444851e-05,17.05000114440918
주택용,2022-07-29,normal,0,0,0,-0.15391384,0.0004156827,0.2900000512599945
주택용,2023-03-03,normal,0,0,0,-0.13228069,0.00022972177,15.359999656677246
주택용,2024-04-29,normal,0,1,0,-0.18549025,7.46765e-05,2.9900004863739014
주택용,2023-02-19,normal,0,0,1,-0.17815585,7.7932746e-05,1.5100001096725464
주택용,2024-09-24,normal,0,0,0,-0.08180507,0.00093270885,0.8799998760223389
주택용,2022-12-31,normal,0,0,0,-0.1781191,5.452616e-05,12.069999694824219
주택용,2025-05-15,normal,0,1,0,-0.17052002,8.062584e-05,5.850000381469727
주택용,2025-02-23,normal,0,0,0,-0.17354158,2.645538e-05,18.740001678466797
주택용,2021-02-24,normal,0,0,1,-0.1560648,1.7181892e-05,19.040000915527344
주택용,2025-02-10,normal,0,0,0,-0.16631445,4.7586338e-05,19.959999084472656
주택용,2025-04-08,normal,0,0,0,-0.13441323,0.0002655829,3.1600003242492676
주택용,2021-11-12,normal,0,0,1,-0.14794207,0.00027230562,3.5200002193450928
주택용,2022-03-29,normal,0,0,0,-0.16711065,0.0001394822,5.920000076293945
주택용,2025-12-19,normal,0,0,1,-0.17263496,6.6119384e-05,9.920000076293945
주택용,2025-12-21,normal,0,0,0,-0.18057106,5.2878637e-05,10.100000381469727
주택용,2021-05-16,normal,0,0,0,-0.15363896,0.00024718905,1.8600000143051147
주택용,2022-12-11,normal,0,1,0,-0.14746812,4.3567397e-05,28.920001983642578
주택용,2021-12-12,normal,0,1,0,-0.17308366,5.2689476e-05,10.770000457763672
주택용,2023-01-14,normal,0,0,1,-0.17112948,5.5326305e-05,8.430000305175781
주택용,2021-05-24,normal,0,0,1,-0.08160982,0.0026135717,1.5400002002716064
주택용,2025-11-21,normal,0,0,0,-0.18112865,5.0709943e-05,12.569999694824219
주택용,2023-04-27,normal,0,0,1,-0.10029333,0.0007862896,0.419999897480011
주택용,2024-10-23,normal,0,0,0,-0.14736548,0.00026474442,1.9600001573562622
